Name,Tag
Sterling and Wilson Renewable Energy Ltd,STEN
EPL Ltd,ESSL
Ujjivan Small Finance Bank Ltd,UJJI
SIS Ltd,SECR
VRL Logistics Ltd,VRLL
TCI Express Ltd,TCIE
Indigo Paints Ltd,INDIG
Rattanindia Enterprises Ltd,RTNI
MTAR Technologies Ltd,MTA
Hinduja Global Solutions Ltd,HGSL
Quess Corp Ltd,QUEC
Olectra Greentech Ltd,OLEC
Kfin Technologies Ltd,KFI
Rain Industries Ltd,RAID
Gujarat Pipavav Port Ltd,GPPL
Delta Corp Ltd,DELT
ESAB India Ltd,ESAB
Garden Reach Shipbuilders & Engineers Ltd,GRSE
Syrma SGS Technology Ltd,SYR
Ramkrishna Forgings Ltd,RKFO
Mastek Ltd,MAST
TV18 Broadcast Ltd,TVEB
Religare Enterprises Ltd,RELG
Nippon India ETF Gold BeES,GBES
Jindal SAW Ltd,JIND
Vaibhav Global Ltd,VAIB
Caplin Point Laboratories Ltd,CAPL
Godawari Power and Ispat Ltd,GDPI
Edelweiss Financial Services Ltd,EDEL
Kennametal India Ltd,KENI
Gujarat Alkalies And Chemicals Ltd,GALK
VST Industries Ltd,VSTI
Rolex Rings Ltd,ROLE
Action Construction Equipment Ltd,ACEL
Restaurant Brands Asia Ltd,BUR
BEML Ltd,BEML
Avanti Feeds Ltd,AVNT
Keystone Realtors Ltd,RUST
CSB Bank Ltd,CSBB
Suprajit Engineering Ltd,SUPE
Transport Corporation of India Ltd,TCIL
Gujarat Mineral Development Corporation Ltd,GMDC
Elecon Engineering Company Ltd,ELCN
Jubilant Pharmova Ltd,JULS
PDS Limited,PDSM
NIIT Ltd,NIIT
JSW Holdings Ltd,JNSW
MMTC Ltd,MMTC
F D C Ltd,FDC
Indiabulls Housing Finance Ltd,INBF
PCBL Ltd,PHIL
Orient Electric Ltd,ONTE
Star Cement Ltd,STAT
Reliance Power Ltd,RPOL
Engineers India Ltd,ENGI
GHCL Ltd,GHCH
Anant Raj Ltd,ANRA
Chennai Petroleum Corporation Ltd,CHPC
Borosil Ltd,BORS
ICRA Ltd,ICRA
CMS Info Systems Ltd,CMS
Nippon India ETF Nifty BeES,NBES
Varroc Engineering Ltd,VARE
Sobha Ltd,SOBH
Tega Industries Ltd,TEG
Ge T&D India Ltd,GETD
Himadri Speciality Chemical Ltd,HIMD
Sunteck Realty Ltd,SUNT
Surya Roshni Ltd,SURR
V-mart Retail Ltd,VMAR
Schneider Electric Infrastructure Ltd,SEIN
shipping corporation of India Ltd,SCI
JK Tyre & Industries Ltd,JKIN
Spandana Sphoorty Financial Ltd,SPAD
Paradeep Phosphates Ltd,PARAD
Jupiter Wagons Ltd,CEBB
Privi Speciality Chemicals Ltd,FAIC
Fusion Micro Finance Ltd,FUS
HEG Ltd,HEGL
ELANTAS Beck India Ltd,DRB
Jamna Auto Industries Ltd,JMNA
Bharat Rasayan Ltd,BRSN
Lux Industries Ltd,LUXI
Tata Coffee Ltd,TACO
Karnataka Bank Ltd,KBNK
La Opala R G Ltd,LAOP
Ion Exchange (India) Ltd,ION
HLE Glascoat Ltd,HLE
Bengal & Assam Company Ltd,BENG
Shrem Invit,SHREI
Sharda Cropchem Ltd,SHCR
Rajratan Global Wire Ltd,RAJR
Jaiprakash Power Ventures Ltd,JAPR
Meghmani Finechem Ltd,MFM
Polyplex Corp Ltd,PLYP
Titagarh Wagons Ltd,TITW
Responsive Industries Ltd,RSPO
Sarda Energy & Minerals Ltd,SAEM
Vijaya Diagnostic Centre Ltd,VIJAY
Kirloskar Pneumatic Company Ltd,KGK
Neogen Chemicals Ltd,NEOE
Sansera Engineering Ltd,SANS
Share India Securities Ltd,SCAC
Ami Organics Ltd,AMIO
Aarti Drugs Ltd,ADRG
Power Mech Projects Ltd,POMP
Harsha Engineers International Ltd,HARS
Indiabulls Real Estate Ltd,INRL
Nesco Ltd,NSEN
Rategain Travel Technologies Ltd,RATE
LT Foods Ltd,LTOL
National Fertilizers Ltd,NAFT
Bombay Super Hybrid Seeds Ltd,BOBA
Heidelbergcement India Ltd,HEID
MAS Financial Services Ltd,MASF
Arvind Fashions Ltd,ARVF
Healthcare Global Enterprises Ltd,HEAC
Mishra Dhatu Nigam Ltd,MISR
Rossari Biotech Ltd,ROSB
Techno Electric & Engineering Company Ltd,TEEC
Tatva Chintan Pharma Chem Ltd,TATV
IRB InvIT Fund,IRBN
Motilal Oswal NASDAQ 100 ETF,N100
Authum Investment & Infrastructure Ltd,AII
Rallis India Ltd,RALL
Marksans Pharma Ltd,MARK
TeamLease Services Ltd,TLSV
Railtel Corporation of India Ltd,RAIL
Nazara Technologies Ltd,NAZ
Prudent Corporate Advisory Services Ltd,PRU
Greenlam Industries Ltd,GEEN
Greenpanel Industries Ltd,GREP
Automotive Axles Ltd,ATOA
Mrs. Bectors Food Specialities Ltd,BEC
Hikal Ltd,HIKA
Infibeam Avenues Ltd,IFIB
West Coast Paper Mills Ltd,WSTC
Isgec Heavy Engineering Ltd,SARA
Anand Rathi Wealth Ltd,ANAND
Technocraft Industries (India) Ltd,TEIN
Bannari Amman Sugars Ltd,BANN
Nocil Ltd,NOCI
Sindhu Trade Links Ltd,SIN
Newgen Software Technologies Ltd,NEWG
Vesuvius India Ltd,VESU
Nava Limited,NABV
Ujjivan Financial Services Ltd,UJVF
Nirlon Ltd,NIRL
IFB Industries Ltd,IFBI
Ahluwalia Contracts (India) Ltd,AHLU
Sandur Manganese and Iron Ores Ltd,SANDU
Inox Wind Ltd,INWN
Gravita India Ltd,GRAI
Tinplate Company of India Ltd,TINP
Kirloskar Brothers Ltd,KRBR
Hawkins Cookers Ltd,HAWK
South Indian Bank Ltd,SIBK
DCB Bank Ltd,DCBA
Choice International Ltd,CHOI
Sula Vineyards Ltd,SULA
Gateway Distriparks Ltd,GAT
Moil Ltd,MOIL
Mold-Tek Packaging Ltd,MOLT
PG Electroplast Ltd,PGEL
HBL Power Systems Ltd,HBLS
Nilkamal Ltd,NKML
PTC Industries Ltd,PTC
D B Realty Ltd,DBRL
